id,district_id,date,statement_frequency
83,26,4/16/93,monthly
85,68,3/23/97,monthly
86,54,3/7/93,monthly
88,31,7/3/96,monthly
89,68,9/25/97,monthly
90,1,7/13/94,monthly
91,17,11/6/96,monthly
93,2,6/12/96,monthly
95,1,3/30/95,monthly
96,68,2/18/93,monthly
97,74,5/5/96,monthly
98,55,5/2/97,monthly
99,1,6/27/95,monthly
100,41,12/28/93,monthly
101,35,4/16/96,monthly
102,11,10/16/93,monthly
103,44,3/10/96,monthly
104,37,4/15/93,monthly
105,21,7/10/97,monthly
106,63,11/27/94,monthly
107,64,11/5/93,monthly
108,53,3/10/95,monthly
109,53,4/20/97,monthly
110,36,7/17/96,monthly
112,6,3/12/93,monthly
113,55,7/22/96,monthly
114,60,3/14/97,monthly
115,68,3/19/93,monthly
116,8,3/21/96,monthly
117,31,9/5/93,monthly
118,68,9/18/97,monthly
119,27,5/25/93,monthly
121,55,10/11/97,monthly
122,31,10/30/96,monthly
123,21,3/13/93,monthly
124,55,12/28/97,monthly
126,5,10/23/93,monthly
127,29,2/2/94,monthly
128,2,2/19/93,monthly
129,74,10/1/97,monthly
130,54,2/12/97,monthly
131,52,6/13/95,monthly
134,34,12/10/97,monthly
135,75,6/15/93,monthly
136,74,5/14/96,monthly
137,70,7/19/96,monthly
138,22,9/19/95,monthly
140,24,6/25/96,monthly
141,38,3/6/96,monthly
142,51,2/15/93,monthly
143,21,11/27/96,monthly
145,31,1/3/96,monthly
146,4,9/2/93,monthly
148,8,6/21/93,monthly
149,43,11/16/97,monthly
150,73,3/16/95,monthly
151,76,9/6/93,monthly
152,1,4/12/96,monthly
153,77,9/19/93,monthly
154,46,6/21/94,monthly
155,58,11/7/95,monthly
156,64,10/22/97,monthly
157,11,3/28/97,monthly
158,37,3/15/95,monthly
159,70,2/11/97,monthly
160,23,9/4/93,monthly
161,28,7/4/94,monthly
162,60,8/25/93,monthly
163,30,1/27/93,monthly
164,60,9/13/96,monthly
165,25,6/1/93,monthly
166,17,8/20/96,monthly
168,31,4/27/93,monthly
169,4,9/28/95,monthly
170,59,7/2/96,monthly
171,46,6/8/96,monthly
172,13,8/30/93,monthly
173,66,11/26/93,monthly
174,52,9/4/96,monthly
177,1,9/26/97,monthly
178,59,9/6/97,monthly
181,21,6/11/96,monthly
182,47,8/24/96,monthly
183,43,12/12/93,monthly
184,77,2/21/96,monthly
185,32,7/4/97,monthly
187,5,3/28/93,monthly
188,54,4/20/93,monthly
189,76,4/16/97,monthly
190,74,3/2/95,monthly
191,41,3/17/97,monthly
192,55,1/8/93,monthly
193,69,12/22/96,monthly
194,44,8/1/96,monthly
195,70,2/27/97,monthly
196,4,11/14/93,monthly
197,1,2/25/93,monthly
198,70,10/25/93,monthly
199,70,10/26/96,monthly
200,17,7/3/94,monthly
201,63,11/2/94,monthly
204,67,1/13/96,monthly
205,1,10/8/97,monthly
206,61,4/8/95,monthly
207,2,7/25/93,monthly
208,54,3/27/96,monthly
209,37,11/24/96,monthly
210,48,3/17/96,monthly
211,28,7/19/97,monthly
213,73,8/29/95,monthly
214,22,3/9/97,monthly
215,31,11/25/97,monthly
216,38,5/16/94,monthly
217,77,1/20/95,monthly
218,68,2/6/96,monthly
219,28,9/6/95,monthly
220,72,4/9/93,monthly
221,19,10/30/96,monthly
222,37,3/15/93,monthly
223,39,6/13/95,monthly
224,15,10/27/96,monthly
225,1,7/28/93,monthly
226,70,2/23/97,monthly
227,27,3/28/95,monthly
228,5,9/28/93,monthly
229,1,6/7/97,monthly
230,1,2/26/96,monthly
231,22,4/3/95,monthly
232,45,11/29/97,monthly
234,73,7/15/93,monthly
235,41,10/6/93,monthly
236,72,3/16/96,monthly
237,50,3/25/94,monthly
238,6,8/15/93,monthly
240,72,4/28/97,monthly
241,15,9/29/96,monthly
242,69,8/29/96,monthly
244,24,2/8/93,monthly
245,65,11/25/93,monthly
246,65,12/20/97,monthly
248,1,4/2/95,monthly
249,28,12/3/96,monthly
250,56,5/10/97,monthly
251,74,4/6/96,monthly
252,19,12/26/96,monthly
253,46,12/5/95,monthly
255,68,11/3/96,monthly
256,37,5/14/95,monthly
257,11,11/5/95,monthly
258,64,7/9/97,monthly
259,2,10/28/93,monthly
260,24,10/14/95,monthly
261,54,10/7/96,monthly
262,75,1/27/96,monthly
264,15,2/9/96,monthly
265,19,7/5/96,monthly
266,47,5/11/94,monthly
267,38,4/26/95,monthly
268,3,5/29/96,monthly
269,3,8/30/96,monthly
270,27,1/23/95,monthly
271,1,8/13/96,monthly
272,11,10/23/96,monthly
274,76,8/20/93,monthly
275,29,1/2/96,monthly
276,38,12/8/97,monthly
278,73,4/8/96,monthly
279,39,4/14/93,monthly
280,25,1/23/93,monthly
281,1,10/27/96,monthly
282,69,5/12/97,monthly
283,44,4/18/96,monthly
284,54,7/18/97,monthly
285,17,5/8/95,monthly
286,71,3/27/96,monthly
287,16,10/27/93,monthly
288,25,3/18/95,monthly
289,1,3/17/94,monthly
290,56,12/2/93,monthly
291,7,6/8/97,monthly
292,49,2/26/97,monthly
293,1,5/4/97,monthly
294,7,1/5/97,monthly
295,66,11/23/97,monthly
296,49,2/14/96,monthly
297,74,9/8/96,monthly
298,35,12/2/97,monthly
299,77,4/5/93,monthly
300,1,6/23/93,monthly
301,60,9/10/95,monthly
302,7,5/9/96,monthly
303,71,7/25/96,monthly
304,4,3/20/97,monthly
305,34,10/18/96,monthly
306,16,6/8/93,monthly
307,26,8/7/97,monthly
308,61,10/16/95,monthly
309,14,4/25/97,monthly
311,50,8/8/97,monthly
312,41,1/3/96,monthly
313,73,7/6/96,monthly
315,45,12/8/97,monthly
316,62,5/8/97,monthly
317,76,3/10/93,monthly
318,36,9/16/94,monthly
320,47,1/23/97,monthly
321,47,11/11/93,monthly
322,1,2/20/93,monthly
323,52,2/23/97,monthly
324,1,8/23/96,monthly
325,75,10/6/96,monthly
326,61,8/6/97,monthly
327,54,6/2/93,monthly
328,1,9/18/97,monthly
329,3,10/19/96,monthly
330,42,11/24/96,monthly
331,65,10/2/95,monthly
332,36,1/12/96,monthly
333,73,12/23/96,monthly
334,1,5/24/93,monthly
335,74,1/20/96,monthly
336,62,10/16/95,monthly
337,17,11/25/95,monthly
338,49,11/18/95,monthly
340,1,11/3/93,monthly
341,28,11/19/96,monthly
342,64,10/13/96,monthly
343,18,4/26/94,monthly
344,54,12/1/93,monthly
345,5,11/20/93,monthly
346,37,1/11/93,monthly
347,65,12/13/93,monthly
348,25,11/15/95,monthly
349,72,6/8/97,monthly
350,47,10/13/96,monthly
351,50,2/17/97,monthly
352,39,7/4/94,monthly
353,24,8/30/95,monthly
354,59,10/28/93,monthly
356,70,3/12/96,monthly
357,20,3/10/96,monthly
358,12,12/9/93,monthly
359,11,12/11/94,monthly
360,32,5/14/96,monthly
361,51,2/27/93,monthly
362,15,4/4/93,monthly
363,1,5/6/94,monthly
364,1,1/20/97,monthly
365,74,12/12/93,monthly
366,1,10/23/96,monthly
367,23,5/9/97,monthly
368,77,7/6/93,monthly
370,25,2/18/94,monthly
371,12,8/2/96,monthly
372,55,9/10/95,monthly
373,67,6/20/96,monthly
374,38,1/9/93,monthly
375,68,6/7/96,monthly
376,25,3/5/95,monthly
377,70,8/19/94,monthly
378,68,7/22/96,monthly
379,32,5/18/96,monthly
381,68,7/4/93,monthly
382,14,8/16/96,monthly
383,38,5/15/97,monthly
385,5,4/7/93,monthly
386,1,8/11/97,monthly
387,72,9/19/97,monthly
388,59,2/11/95,monthly
389,30,8/28/93,monthly
390,44,2/16/96,monthly
391,36,12/11/93,monthly
392,1,7/14/96,monthly
393,46,2/4/95,monthly
395,1,3/12/93,monthly
396,21,3/8/93,monthly
397,11,10/26/93,monthly
398,69,10/24/97,monthly
399,1,8/27/96,monthly
400,28,7/17/93,monthly
401,32,1/18/93,monthly
402,68,9/14/97,monthly
403,1,7/29/93,monthly
404,41,4/28/95,monthly
405,55,3/13/97,monthly
406,63,9/3/96,monthly
408,41,7/21/93,monthly
409,1,6/11/96,monthly
410,49,10/15/96,monthly
411,70,2/5/93,monthly
412,74,1/21/96,monthly
413,18,7/9/96,monthly
414,1,1/29/96,monthly
415,25,3/3/93,monthly
416,6,8/11/96,monthly
417,73,1/27/96,monthly
418,36,8/27/95,monthly
419,13,10/25/93,monthly
420,75,8/26/95,monthly
421,75,11/27/97,monthly
423,12,3/28/93,monthly
424,12,2/17/97,monthly
425,9,3/19/93,monthly
426,1,11/29/93,monthly
427,8,7/24/94,monthly
428,1,2/27/93,monthly
429,63,9/3/95,monthly
430,54,9/2/95,monthly
431,18,11/5/96,monthly
432,46,6/16/93,monthly
433,20,6/12/93,monthly
434,1,12/24/96,monthly
435,38,1/8/93,monthly
436,30,8/7/96,monthly
437,43,12/3/93,monthly
438,37,6/23/97,monthly
439,69,4/15/96,monthly
440,29,12/22/96,monthly
442,54,3/30/97,monthly
443,64,1/28/93,monthly
444,26,5/9/96,monthly
446,50,6/15/93,monthly
447,5,8/14/96,monthly
449,19,11/22/94,monthly
450,59,5/28/96,monthly
451,11,5/5/94,monthly
452,63,11/29/95,monthly
453,75,4/24/97,monthly
454,7,5/7/95,monthly
455,54,4/23/95,monthly
456,49,1/21/93,monthly
458,7,6/16/95,monthly
459,47,1/21/93,monthly
460,1,4/18/94,monthly
461,30,2/18/93,monthly
462,29,11/10/93,monthly
463,51,5/8/95,monthly
464,43,5/28/97,monthly
465,32,2/4/93,monthly
466,71,2/18/96,monthly
467,74,9/24/93,monthly
468,49,3/19/96,monthly
469,72,7/14/97,monthly
470,64,3/23/94,monthly
471,47,6/7/95,monthly
472,8,10/11/96,monthly
473,73,10/20/96,monthly
474,61,12/6/95,monthly
475,3,5/11/97,monthly
476,69,4/11/97,monthly
477,1,1/25/93,monthly
478,58,7/16/94,monthly
479,1,11/5/95,monthly
480,23,1/21/97,monthly
481,72,4/23/96,monthly
483,70,7/15/97,monthly
484,1,1/20/95,monthly
486,33,11/21/95,monthly
487,40,11/14/95,monthly
488,25,6/20/96,monthly
489,16,5/17/93,monthly
490,45,5/23/95,monthly
491,44,5/12/96,monthly
492,5,10/10/93,monthly
493,26,4/5/94,monthly
494,60,3/11/93,monthly
496,69,2/26/93,monthly
497,55,4/15/93,monthly
498,1,11/21/93,monthly
500,56,4/27/96,monthly
501,13,10/21/95,monthly
502,1,10/13/97,monthly
503,1,8/8/96,monthly
504,73,4/21/93,monthly
505,64,12/16/96,monthly
506,67,7/8/96,monthly
507,52,6/17/96,monthly
508,74,11/19/96,monthly
509,36,8/14/97,monthly
511,14,11/10/96,monthly
512,68,1/14/97,monthly
513,58,11/21/96,monthly
514,70,3/30/96,monthly
515,57,2/9/95,monthly
516,6,2/8/96,monthly
517,76,9/22/93,monthly
518,74,9/9/94,monthly
519,24,11/12/93,monthly
520,60,11/4/93,monthly
521,9,10/8/95,monthly
522,17,12/20/95,monthly
523,1,8/11/93,monthly
524,61,5/3/94,monthly
525,70,3/20/96,monthly
526,67,7/16/96,monthly
528,17,12/30/96,monthly
529,39,8/18/97,monthly
530,54,11/19/96,monthly
531,31,8/18/95,monthly
532,26,9/2/95,monthly
533,40,5/7/95,monthly
534,1,5/26/97,monthly
535,35,5/24/94,monthly
536,14,10/13/96,monthly
537,34,1/8/97,monthly
538,70,6/7/94,monthly
540,75,10/16/93,monthly
541,61,8/12/93,monthly
542,1,11/1/93,monthly
543,64,5/3/94,monthly
544,32,5/15/95,monthly
545,54,11/24/93,monthly
546,8,11/23/96,monthly
547,24,7/27/97,monthly
548,16,6/7/94,monthly
549,5,11/27/96,monthly
550,24,10/17/97,monthly
551,77,5/7/93,monthly
552,14,8/20/93,monthly
553,26,6/6/95,monthly
554,26,1/26/96,monthly
555,24,5/15/93,monthly
556,12,6/26/97,monthly
557,1,11/26/95,monthly
558,10,6/15/96,monthly
559,46,3/5/93,monthly
560,36,8/20/95,monthly
561,11,12/12/96,monthly
562,50,2/25/93,monthly
563,53,7/27/93,monthly
564,5,12/23/97,monthly
565,39,11/25/95,monthly
566,8,11/13/97,monthly
567,15,6/19/96,monthly
568,18,3/28/95,monthly
569,76,10/1/96,monthly
570,3,11/14/96,monthly
571,72,7/16/96,monthly
572,32,3/27/94,monthly
574,70,7/30/93,monthly
575,38,4/26/94,monthly
576,55,1/1/93,monthly
577,29,9/20/94,monthly
579,1,12/16/97,monthly
580,75,5/20/96,monthly
581,26,10/13/96,monthly
582,12,8/5/94,monthly
584,31,7/14/96,monthly
585,4,9/4/97,monthly
586,54,3/16/95,monthly
587,19,6/21/96,monthly
588,66,3/14/93,monthly
589,1,4/26/97,monthly
590,50,2/24/96,monthly
591,1,8/12/97,monthly
592,23,12/27/96,monthly
593,48,7/16/96,monthly
594,54,12/9/94,monthly
595,20,12/21/96,monthly
596,31,10/13/94,monthly
597,41,12/5/93,monthly
598,1,2/8/97,monthly
599,54,12/4/96,monthly
600,46,3/13/97,monthly
601,29,8/4/93,monthly
602,43,10/27/95,monthly
603,62,6/11/96,monthly
604,12,11/26/93,monthly
605,65,2/4/97,monthly
606,75,11/4/97,monthly
607,16,2/17/95,monthly
608,32,3/27/95,monthly
609,63,5/15/94,monthly
610,74,8/11/94,monthly
611,46,7/21/97,monthly
612,1,5/27/96,monthly
614,25,6/7/97,monthly
615,72,4/9/96,monthly
616,43,10/14/93,monthly
617,74,8/23/96,monthly
618,1,10/2/96,monthly
620,26,2/18/96,monthly
621,52,6/1/96,monthly
622,24,6/22/97,monthly
623,1,3/24/93,monthly
624,70,10/11/93,monthly
625,70,7/12/95,monthly
626,72,11/11/93,monthly
627,63,2/5/93,monthly
628,72,1/3/94,monthly
629,31,7/25/94,monthly
630,71,6/29/93,monthly
631,68,3/25/96,monthly
632,29,5/14/96,monthly
633,57,12/6/95,monthly
635,21,8/21/94,monthly
636,75,4/24/97,monthly
637,49,8/27/96,monthly
638,65,6/28/95,monthly
639,1,11/3/97,monthly
640,32,6/2/93,monthly
641,40,6/22/97,monthly
643,64,10/28/97,monthly
644,4,11/6/97,monthly
645,70,8/21/97,monthly
646,51,1/6/96,monthly
647,1,4/28/97,monthly
648,13,11/9/93,monthly
650,3,1/28/95,monthly
651,72,11/28/93,monthly
652,21,1/5/93,monthly
653,27,8/19/97,monthly
654,63,10/16/94,monthly
655,53,3/24/93,monthly
656,3,8/18/96,monthly
657,47,8/8/93,monthly
658,4,1/10/96,monthly
659,63,12/14/96,monthly
660,68,1/20/96,monthly
662,21,7/18/94,monthly
664,1,12/8/96,monthly
665,8,9/3/95,monthly
666,27,3/15/96,monthly
669,35,6/7/96,monthly
671,60,10/29/97,monthly
672,53,6/23/97,monthly
673,31,12/8/97,monthly
674,49,9/2/95,monthly
675,58,8/3/95,monthly
676,39,9/22/95,monthly
677,70,9/13/97,monthly
678,17,10/8/93,monthly
679,22,7/12/97,monthly
680,17,7/18/97,monthly
682,54,6/8/97,monthly
683,74,7/22/96,monthly
684,49,5/12/96,monthly
686,41,4/4/93,monthly
687,27,6/2/96,monthly
688,74,11/25/93,monthly
689,1,4/24/96,monthly
690,10,7/11/96,monthly
691,24,2/21/96,monthly
692,69,10/2/96,monthly
693,2,6/6/94,monthly
694,67,9/4/96,monthly
695,5,4/21/96,monthly
696,54,11/9/97,monthly
697,28,2/23/93,monthly
698,71,9/29/96,monthly
699,1,9/17/93,monthly
700,20,6/1/94,monthly
701,69,6/8/93,monthly
702,12,6/23/93,monthly
703,54,12/21/97,monthly
704,55,1/1/93,monthly
705,35,7/14/97,monthly
706,49,5/7/96,monthly
708,26,3/30/96,monthly
709,19,7/25/94,monthly
710,25,9/2/94,monthly
711,70,7/6/94,monthly
712,72,12/1/96,monthly
713,58,10/15/96,monthly
714,23,11/4/96,monthly
715,32,8/8/96,monthly
716,47,9/25/94,monthly
717,75,4/24/93,monthly
718,1,3/3/96,monthly
719,30,12/21/93,monthly
720,54,7/20/95,monthly
721,76,8/29/93,monthly
725,70,7/8/96,monthly
726,76,2/3/94,monthly
727,35,12/25/97,monthly
728,60,11/28/95,monthly
729,14,2/15/97,monthly
730,4,8/28/93,monthly
731,5,7/11/95,monthly
732,38,6/7/96,monthly
734,5,4/8/96,monthly
735,70,9/17/97,monthly
736,75,12/7/97,monthly
737,34,12/8/93,monthly
738,34,6/21/93,monthly
739,66,3/18/96,monthly
740,28,4/4/94,monthly
741,54,7/14/94,monthly
742,77,1/28/94,monthly
743,10,11/5/93,monthly
744,42,3/6/93,monthly
745,43,10/9/97,monthly
746,75,5/10/95,monthly
747,39,8/9/93,monthly
748,10,4/8/93,monthly
749,38,3/23/97,monthly
750,73,9/12/93,monthly
751,3,5/12/93,monthly
752,23,1/10/97,monthly
753,31,8/14/96,monthly
754,1,6/8/95,monthly
755,38,9/27/97,monthly
756,65,1/13/95,monthly
757,50,7/19/93,monthly
758,51,12/19/97,monthly
759,23,8/1/93,monthly
760,1,5/24/97,monthly
761,43,4/9/94,monthly
762,76,10/18/95,monthly
763,1,2/23/95,monthly
764,1,1/8/93,monthly
765,12,12/20/96,monthly
766,3,4/21/96,monthly
767,25,3/26/95,monthly
768,26,7/3/97,monthly
770,7,9/24/96,monthly
771,22,1/22/96,monthly
772,45,1/21/93,monthly
773,15,6/19/93,monthly
774,1,6/8/93,monthly
775,1,12/18/94,monthly
776,66,5/18/96,monthly
777,30,12/28/97,monthly
778,68,10/26/96,monthly
779,16,8/13/96,monthly
780,3,4/26/96,monthly
781,33,2/19/95,monthly
782,42,10/30/97,monthly
783,1,9/8/97,monthly
784,59,4/19/94,monthly
786,53,8/12/95,monthly
787,10,11/14/93,monthly
788,12,6/25/96,monthly
789,39,2/6/95,monthly
790,54,5/11/93,monthly
791,49,12/14/95,monthly
792,3,8/13/97,monthly
793,47,1/3/93,monthly
794,63,4/24/97,monthly
795,25,1/27/95,monthly
796,1,2/13/97,monthly
797,57,11/20/96,monthly
798,1,4/22/96,monthly
799,56,10/10/93,monthly
800,11,12/6/97,monthly
801,16,7/23/97,monthly
802,15,12/20/94,monthly
803,19,9/9/95,monthly
804,64,2/6/96,monthly
805,10,12/2/96,monthly
806,13,10/29/96,monthly
808,69,6/13/95,monthly
809,36,12/20/95,monthly
810,46,11/11/95,monthly
812,1,8/30/96,monthly
813,16,2/10/93,monthly
814,76,10/6/96,monthly
815,56,8/25/93,monthly
816,52,8/5/93,monthly
817,5,3/18/94,monthly
819,20,4/22/95,monthly
820,74,11/4/95,monthly
821,60,3/16/96,monthly
822,40,10/4/96,monthly
823,71,9/19/97,monthly
824,32,3/21/96,monthly
825,19,3/6/96,monthly
826,44,10/5/96,monthly
827,36,2/23/96,monthly
828,1,2/12/97,monthly
829,59,11/10/96,monthly
830,74,2/8/93,monthly
831,44,9/18/96,monthly
832,42,5/24/96,monthly
833,31,8/29/96,monthly
834,3,5/23/97,monthly
836,46,7/28/96,monthly
837,46,9/18/93,monthly
838,47,10/23/93,monthly
839,16,1/17/95,monthly
840,70,3/12/96,monthly
841,1,11/4/93,monthly
842,62,4/7/95,monthly
843,6,4/9/97,monthly
844,53,4/28/94,monthly
845,14,12/27/97,monthly
846,72,3/9/96,monthly
847,2,7/21/96,monthly
848,31,6/16/96,monthly
849,1,1/1/96,monthly
850,25,3/7/97,monthly
851,15,9/23/94,monthly
852,57,10/23/97,monthly
853,1,3/20/96,monthly
854,62,9/21/93,monthly
855,1,3/28/94,monthly
856,2,3/3/96,monthly
857,77,9/16/93,monthly
858,52,7/13/96,monthly
859,13,8/26/97,monthly
860,1,3/19/93,monthly
861,22,9/13/93,monthly
863,71,5/16/93,monthly
864,72,7/8/97,monthly
865,17,3/18/96,monthly
866,9,1/10/93,monthly
867,60,11/9/97,monthly
868,1,5/26/97,monthly
869,16,7/15/96,monthly
870,70,3/27/95,monthly
871,1,9/2/96,monthly
872,27,1/18/97,monthly
873,73,4/26/97,monthly
875,63,5/17/95,monthly
876,4,10/26/97,monthly
877,1,5/29/96,monthly
878,52,6/29/96,monthly
879,9,6/4/97,monthly
880,26,12/8/96,monthly
882,9,3/6/93,monthly
883,1,12/17/93,monthly
884,2,12/7/93,monthly
885,1,6/25/93,monthly
886,1,6/23/93,monthly
887,1,5/5/93,monthly
888,54,10/28/96,monthly
889,43,12/22/97,monthly
890,14,2/5/93,monthly
891,34,5/23/96,monthly
892,70,3/20/93,monthly
893,53,4/12/95,monthly
894,46,8/27/95,monthly
895,24,3/12/96,monthly
896,3,6/11/95,monthly
897,38,4/26/93,monthly
898,71,3/27/96,monthly
899,72,6/21/93,monthly
900,48,4/26/94,monthly
901,60,7/10/94,monthly
902,74,6/29/93,monthly
903,47,12/10/93,monthly
904,1,3/20/94,monthly
905,35,12/11/96,monthly
906,59,12/27/97,monthly
907,41,7/9/93,monthly
908,62,4/29/94,monthly
909,30,9/2/97,monthly
910,1,2/3/97,monthly
911,60,8/12/96,monthly
912,65,4/27/97,monthly
913,59,5/10/96,monthly
914,73,11/14/93,monthly
915,72,1/18/95,monthly
916,1,8/13/96,monthly
917,56,10/13/95,monthly
918,60,8/23/96,monthly
919,62,3/3/97,monthly
920,58,9/5/96,monthly
921,10,10/8/96,monthly
922,61,4/27/95,monthly
923,13,2/7/96,monthly
924,11,12/9/95,monthly
925,59,2/23/93,monthly
926,36,11/1/96,monthly
927,69,4/12/97,monthly
928,20,4/26/93,monthly
929,54,7/3/93,monthly
930,41,8/3/93,monthly
931,59,10/15/93,monthly
932,20,7/8/96,monthly
933,21,11/18/95,monthly
934,9,11/27/97,monthly
935,23,12/25/96,monthly
936,7,3/2/96,monthly
937,43,8/26/95,monthly
938,70,12/13/97,monthly
939,55,10/4/94,monthly
940,37,11/15/94,monthly
941,8,6/8/94,monthly
942,9,8/16/93,monthly
943,1,2/3/93,monthly
944,70,3/8/93,monthly
945,18,8/16/96,monthly
946,21,1/1/96,monthly
947,59,5/17/93,monthly
949,58,2/13/96,monthly
950,49,8/26/93,monthly
951,3,4/28/96,monthly
952,41,11/9/97,monthly
953,14,7/22/95,monthly
954,74,1/8/96,monthly
955,59,7/8/96,monthly
956,74,12/5/93,monthly
957,70,12/22/95,monthly
958,72,6/6/96,monthly
959,1,2/23/96,monthly
961,1,10/18/97,monthly
962,64,6/24/96,monthly
963,7,8/9/96,monthly
964,26,7/8/94,monthly
965,20,8/25/93,monthly
966,15,10/14/97,monthly
967,15,8/17/96,monthly
968,74,11/11/95,monthly
969,19,1/8/94,monthly
970,18,7/20/97,monthly
971,12,7/18/96,monthly
972,46,9/29/96,monthly
973,54,11/5/94,monthly
974,29,2/25/94,monthly
975,1,10/19/96,monthly
976,77,1/27/96,monthly
977,1,4/26/93,monthly
978,73,8/18/93,monthly
979,21,2/16/93,monthly
980,1,12/11/96,monthly
981,66,3/25/95,monthly
982,54,2/5/93,monthly
984,2,7/10/96,monthly
985,32,5/29/94,monthly
986,74,5/2/96,monthly
987,15,8/27/96,monthly
988,10,10/22/94,monthly
989,19,3/14/94,monthly
990,17,10/11/95,monthly
991,39,5/18/93,monthly
992,22,10/1/95,monthly
993,6,11/14/96,monthly
994,72,9/15/95,monthly
995,64,8/23/95,monthly
996,47,8/18/97,monthly
997,54,5/8/97,monthly
998,47,11/11/93,monthly
1000,77,1/25/93,monthly
1002,50,9/17/96,monthly
1003,28,10/10/96,monthly
1004,70,7/2/96,monthly
1006,6,2/8/93,monthly
1007,1,6/28/96,monthly
1008,13,10/5/96,monthly
1010,61,5/1/95,monthly
1011,45,12/17/94,monthly
1012,65,7/9/94,monthly
1013,59,5/13/96,monthly
1014,74,3/20/96,monthly
1015,1,6/14/97,monthly
1016,40,9/29/93,monthly
1017,14,8/11/94,monthly
1018,7,6/3/93,monthly
1019,52,1/21/93,monthly
1020,56,4/9/96,monthly
1021,42,11/17/96,monthly
1023,21,8/13/93,monthly
1024,19,5/2/97,monthly
1026,20,9/3/97,monthly
1027,68,7/18/97,monthly
1028,23,3/19/96,monthly
1029,26,6/25/96,monthly
1030,57,11/12/95,monthly
1031,74,6/20/95,monthly
1032,11,4/26/93,monthly
1033,32,8/5/97,monthly
1034,73,4/4/97,monthly
1035,73,4/18/97,monthly
1036,11,1/18/96,monthly
1037,1,2/18/97,monthly
1038,64,4/20/95,monthly
1040,19,5/18/96,monthly
1042,43,4/3/94,monthly
1043,1,8/13/97,monthly
1044,14,11/9/95,monthly
1045,3,5/9/96,monthly
1046,1,4/14/95,monthly
1047,46,6/13/94,monthly
1048,35,5/5/93,monthly
1049,18,12/4/97,monthly
1051,35,10/21/93,monthly
1052,61,9/27/93,monthly
1053,57,5/25/94,monthly
1054,10,2/19/93,monthly
1055,29,12/12/96,monthly
1057,13,8/23/93,monthly
1058,47,6/11/96,monthly
1059,8,5/30/95,monthly
1060,6,10/20/96,monthly
1061,44,10/17/97,monthly
1062,6,7/11/93,monthly
1063,68,9/19/96,monthly
1064,70,9/29/97,monthly
1065,72,3/27/93,monthly
1067,34,9/10/96,monthly
1068,52,2/15/97,monthly
1069,70,7/24/93,monthly
1070,62,4/23/96,monthly
1072,65,12/9/97,monthly
1073,73,2/27/94,monthly
1074,59,5/16/96,monthly
1075,35,7/13/95,monthly
1076,1,10/30/94,monthly
1077,14,3/3/93,monthly
1078,1,7/12/96,monthly
1079,74,9/14/93,monthly
1080,55,12/27/93,monthly
1081,64,12/21/96,monthly
1082,2,6/8/96,monthly
1083,45,12/6/96,monthly
1085,42,9/11/97,monthly
1086,37,6/17/96,monthly
1087,55,6/26/96,monthly
1088,32,12/19/93,monthly
1089,74,10/10/95,monthly
1090,69,10/19/96,monthly
1091,16,9/9/93,monthly
1092,41,6/6/95,monthly
1093,54,1/14/96,monthly
1094,35,7/10/96,monthly
1095,54,6/18/97,monthly
1096,34,3/3/97,monthly
1097,67,6/22/96,monthly
